iter	Passed	Remaining
0	55	55671
1	56	28096
2	56	18872
3	57	14259
4	57	11491
5	58	9649
6	58	8332
7	59	7350
8	59	6582
9	60	5967
10	60	5473
11	61	5058
12	61	4704
13	62	4400
14	63	4139
15	63	3911
16	64	3704
17	64	3521
18	65	3365
19	65	3219
20	66	3085
21	66	2965
22	67	2855
23	67	2754
24	68	2660
25	68	2572
26	69	2494
27	69	2421
28	70	2352
29	70	2290
30	71	2231
31	71	2174
32	72	2123
33	72	2071
34	73	2024
35	74	1982
36	74	1940
37	75	1901
38	75	1863
39	76	1827
40	76	1793
41	77	1760
42	77	1729
43	78	1700
44	78	1671
45	79	1646
46	79	1619
47	80	1595
48	80	1569
49	81	1546
50	81	1524
51	82	1505
52	83	1490
53	84	1472
54	84	1453
55	85	1434
56	85	1418
57	86	1400
58	86	1385
59	87	1370
60	87	1354
61	88	1339
62	89	1325
63	89	1312
64	90	1298
65	90	1284
66	91	1270
67	91	1257
68	92	1244
69	92	1231
70	93	1219
71	93	1208
72	94	1198
73	95	1188
74	95	1179
75	96	1169
76	96	1160
77	97	1151
78	97	1141
79	98	1132
80	99	1125
81	99	1118
82	100	1107
83	100	1099
84	101	1091
85	102	1084
86	102	1077
87	103	1071
88	104	1065
89	104	1057
90	105	1050
91	105	1042
92	106	1036
93	106	1028
94	107	1021
95	107	1015
96	108	1008
97	108	1002
98	109	996
99	110	990
100	110	985
101	111	980
102	111	974
103	112	969
104	113	964
105	113	960
106	114	956
107	115	953
108	116	949
109	116	945
110	117	941
111	118	937
112	118	933
113	119	928
114	119	923
115	120	918
116	121	913
117	121	908
118	122	903
119	122	899
120	123	895
121	123	890
122	124	886
123	125	883
124	125	880
125	126	877
126	126	872
127	127	869
128	128	866
129	129	866
130	130	864
131	130	860
132	131	857
133	132	854
134	132	851
135	133	849
136	134	845
137	134	842
138	135	839
139	136	836
140	136	833
141	137	828
142	137	825
143	138	822
144	138	819
145	139	817
146	140	814
147	141	812
148	141	809
149	142	805
150	142	803
151	143	800
152	144	798
153	145	797
154	145	794
155	146	791
156	147	789
157	147	787
158	148	783
159	148	780
160	149	776
161	149	773
162	150	771
163	150	768
164	151	765
165	151	762
166	152	759
167	152	756
168	153	754
169	153	751
170	154	748
171	155	746
172	155	743
173	156	741
174	156	738
175	157	736
176	157	733
177	158	731
178	159	729
179	159	727
180	160	725
181	161	723
182	161	721
183	162	718
184	162	716
185	163	714
186	163	711
187	164	709
188	164	707
189	165	705
190	165	703
191	166	701
192	167	698
193	167	696
