Student_ID,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,Paid,activities,nursery,higher,internet
1001,GP,F,18,,,A,4,,,,,
1002,GP,F,17,,,T,1,,,,,
1003,GP,F,15,,,T,1,,,,,
1004,GP,F,15,,,T,4,,,,,
1005,GP,F,16,,,T,3,,,,,
1006,GP,M,16,,,T,4,,,,,
1007,GP,M,16,,,T,2,,,,,
1008,GP,F,17,,,A,4,,,,,
1009,GP,M,15,,,A,3,,,,,
1010,GP,M,15,,,T,3,,,,,
1011,GP,F,15,,,T,4,,,,,
1012,GP,F,15,,,T,2,,,,,
1013,GP,M,15,,,T,4,,,,,
1014,GP,M,15,,,T,4,,,,,
1015,GP,M,15,,,A,2,,,,,
1016,GP,F,16,,,T,4,,,,,
1017,GP,F,16,,,T,4,,,,,
1018,GP,F,16,,,T,3,,,,,
1019,GP,M,17,,,T,3,,,,,
1020,GP,M,16,,,T,4,,,,,
1021,GP,M,15,,,T,4,,,,,
1022,GP,M,15,,,T,4,,,,,
1023,GP,M,16,,,T,4,,,,,
1024,GP,M,16,,,T,2,,,,,
1025,GP,F,15,,,T,2,,,,,
1026,GP,F,16,,,T,2,,,,,
1027,GP,M,15,,,T,2,,,,,
1028,GP,M,15,,,T,4,,,,,
1029,GP,M,16,,,A,3,,,,,
1030,GP,M,16,,,T,4,,,,,
1031,GP,M,15,,,T,4,,,,,
1032,GP,M,15,,,T,4,,,,,
1033,GP,M,15,,,T,4,,,,,
1034,GP,M,15,,,T,3,,,,,
1035,GP,M,16,,,T,3,,,,,
1036,GP,F,15,,,T,2,,,,,
1037,GP,M,15,,,T,4,,,,,
1038,GP,M,16,,,A,4,,,,,
1039,GP,F,15,,,T,3,,,,,
1040,GP,F,15,,,T,2,,,,,
1041,GP,F,16,,,T,2,,,,,
1042,GP,M,15,,,T,4,,,,,
1043,GP,M,15,,,T,4,,,,,
1044,GP,M,15,,,T,2,,,,,
1045,GP,F,16,,,T,2,,,,,
1046,GP,F,15,,,A,4,,,,,
1047,GP,F,16,,,A,3,,,,,
1048,GP,M,16,,,T,4,,,,,
1049,GP,M,15,,,T,4,,,,,
