Student_ID,romantic,famrel,freetime,goout,Dalc,Walc,health
1001,GP,,18,,,,4
1002,GP,,17,,,,1
1003,GP,,15,,,,1
1004,GP,,15,,,,4
1005,GP,,16,,,,3
1006,GP,,16,,,,4
1007,GP,,16,,,,2
1008,GP,,17,,,,4
1009,GP,,15,,,,3
1010,GP,,15,,,,3
1011,GP,,15,,,,4
1012,GP,,15,,,,2
1013,GP,,15,,,,4
1014,GP,,15,,,,4
1015,GP,,15,,,,2
1016,GP,,16,,,,4
1017,GP,,16,,,,4
1018,GP,,16,,,,3
1019,GP,,17,,,,3
1020,GP,,16,,,,4
1021,GP,,15,,,,4
1022,GP,,15,,,,4
1023,GP,,16,,,,4
1024,GP,,16,,,,2
1025,GP,,15,,,,2
1026,GP,,16,,,,2
1027,GP,,15,,,,2
1028,GP,,15,,,,4
1029,GP,,16,,,,3
1030,GP,,16,,,,4
1031,GP,,15,,,,4
1032,GP,,15,,,,4
1033,GP,,15,,,,4
1034,GP,,15,,,,3
1035,GP,,16,,,,3
1036,GP,,15,,,,2
1037,GP,,15,,,,4
1038,GP,,16,,,,4
1039,GP,,15,,,,3
1040,GP,,15,,,,2
1041,GP,,16,,,,2
1042,GP,,15,,,,4
1043,GP,,15,,,,4
1044,GP,,15,,,,2
1045,GP,,16,,,,2
1046,GP,,15,,,,4
1047,GP,,16,,,,3
1048,GP,,16,,,,4
1049,GP,,15,,,,4
1050,GP,,15,,,,4
1051,GP,,16,,,,2
1052,GP,,15,,,,4
1053,GP,,15,,,,4
1054,GP,,15,,,,4
1055,GP,,15,,,,3
1056,GP,,16,,,,2
1057,GP,,15,,,,4
1058,GP,,15,,,,4
1059,GP,,15,,,,1
1060,GP,,16,,,,4
1061,GP,,16,,,,4
1062,GP,,16,,,,1
1063,GP,,16,,,,1
1064,GP,,16,,,,4
1065,GP,,15,,,,4
1066,GP,,16,,,,4
1067,GP,,15,,,,4
1068,GP,,16,,,,3
1069,GP,,15,,,,2
1070,GP,,15,,,,3
1071,GP,,16,,,,3
1072,GP,,15,,,,4
1073,GP,,15,,,,1
1074,GP,,16,,,,3
1075,GP,,16,,,,3
1076,GP,,15,,,,4
1077,GP,,15,,,,4
1078,GP,,16,,,,2
1079,GP,,17,,,,2
1080,GP,,16,,,,3
1081,GP,,15,,,,2
1082,GP,,15,,,,2
1083,GP,,15,,,,3
1084,GP,,15,,,,2
1085,GP,,15,,,,1
1086,GP,,15,,,,4
1087,GP,,16,,,,2
1088,GP,,15,,,,4
1089,GP,,16,,,,2
1090,GP,,16,,,,4
1091,GP,,16,,,,3
1092,GP,,15,,,,4
1093,GP,,16,,,,3
1094,GP,,16,,,,4
1095,GP,,15,,,,2
1096,GP,,15,,,,1
1097,GP,,16,,,,4
1098,GP,,16,,,,2
1099,GP,,16,,,,4
1100,GP,,16,,,,4
1101,GP,,16,,,,4
1102,GP,,16,,,,4
1103,GP,,15,,,,4
1104,GP,,15,,,,3
